"Stage","ID","Asset Name","Coupon","PACE Asset Balance","Closing Date","Maturity Date"," Term (Years)","Amortization Start Date","Cap-I End Date","Payments per Year","Current Total Debt MTG + PACE","Mortgage Balance","Total Project Budget","as-is Property Value","as-complete Property Value","as-stabilized Property value","as-stabilized PACE LTV","as-stabilized Mortgage LTV","as-stabilized Combined LTV","Under-Written DSVR","City","State","Property Type","Project Type","PACE Program","Closing Year","Maturity Year"
"05 Servicing","20-06","REV - Indigo Silverthorne","5.7","2920124","2020-09-29","2046-06-15",25,"2021-10-17","2021-10-16",2,"17220124","14300000","24970124.00","2500000","25000000","28000000","10.4290142857143","51.0714285714286","61.5004428571429","1.53","Silverthorne","CO","Hotel","New Construction","Colorado PACE","2020","2046"
"05 Servicing","19-43","Wangard - 2nd ST. Development","5.97","1112525","2019-12-24","2040-07-31",20,"2021-01-01","2020-12-31",2,"26957616","25845091","36366960.09","3500000","16330000","22250000","5.00011235955056","116.157712359551","121.157824719101","1.39","Milwaukee","WI","Office","Major Renovation","Milwaukee Me2","2019","2040"
"05 Servicing","19-41","Ceres - NASA L Building","6.05","2944682","2020-10-20","2046-07-31",25,"2021-11-15","2021-11-14",2,"9501215","6556533","14118234.00","2100000","9200000","9900000","29.7442626262626","66.2276060606061","95.9718686868687","1.61","Fairview Park","OH","Hotel","Major Renovation","Northeast Ohio Advanced Energy District Cleveland ","2020","2046"
"05 Servicing","19-41","Ceres - NASA K Building","5.9","5540592","2020-10-20","2046-07-31",25,"2021-11-15","2021-11-14",2,"17740592","12200000","32002234.00","6100000","18011243","20495000","27.0338716760185","59.5267138326421","86.5605855086607","1.21","Fairview Park","OH","Multifamily","Major Renovation","Northeast Ohio Advanced Energy District Cleveland ","2020","2046"
"05 Servicing","19-40","Lund Co - Landmark","5.45","10379912","2020-02-28","2046-12-31",25,"2022-01-31","2022-01-30",2,"60179912","49800000","91779912.00","16200000","59800000","63100000","16.44993977813","78.9223454833597","95.3722852614897","1.41","Omaha","NE","Mixed Use","Retrofit","Nebraska - ENCEAD (Omaha)","2020","2046"
"05 Servicing","19-34","Brookhill - Comfort Inn Sarasota","5.51","1871848.21","2020-03-31","2045-05-02",25,"2020-05-03","2020-05-02",1,"6171848.21","4300000","15971848.21","15800000","15800000","17200000","10.8828384302326","25","35.8828384302326","2.82","Sarasota ","FL","Hotel","Retroactive","FDFC PACE","2020","2045"
"05 Servicing","19-33","Cattlemen - Sleep Inn Sarasota","5.51","1341689.27","2020-03-31","2045-05-02",25,"2020-05-03","2020-05-02",1,"6141689.27","4800000","9641689.27","9500000","9500000","9800000","13.6907068367347","48.9795918367347","62.6702986734694","1.66","Sarasota","FL","Hotel","Retrofit","FDFC PACE","2020","2045"
"05 Servicing","19-27","Sachi - Louisville La Quinta","6.42","1745737","2019-11-22","2045-07-31",25,"2020-12-16","2020-12-15",1,"9077161","7331424","13057032.31","5400000","11250000","12600000","13.8550555555556","58.1859047619048","72.0409603174603","1.73","Louisville","KY","Hotel","New Construction","Louisville EPAD (Jefferson County) ","2019","2045"
"05 Servicing","19-24","EKN - Rochester St. Marys","5.774","3388689","2019-08-01","2040-10-15",20,"2021-02-18","2021-02-17",2,"45332689","41944000","66509169.00","6200000","57250000","60350000","5.61506048053024","69.5012427506214","75.1163032311516","1.63","Rochester","MN","Hotel","New Construction","Minnesota PACE","2019","2040"
"05 Servicing","19-17","Shepherd - Airy Hills","7.18","5539461.89","2019-09-27","2045-07-31",25,"2020-10-30","2020-10-29",2,"23739461.89","18200000","31166690.89","2500000","31400000","35400000","15.6481974293785","51.4124293785311","67.0606268079096","1.49","Cincinnati","OH","Assisted Living","New Construction","Green Township Energy Special Improvement District, Inc.","2019","2045"
"05 Servicing","19-15","Continental - Tallahassee Hotel","6.63","2305828.47","2019-06-11","2045-05-02",25,"2020-05-03","2020-05-02",1,"14915828.47","12610000","21541281.47","2000000","22250000","24900000","9.26035530120482","50.6425702811245","59.9029255823293","1.33","Tallahassee","FL","Hotel","New Construction","FDFC PACE","2019","2045"
